Search Bias Report - Wed Aug 14 2024

Search Query: Donald Trump
Campaign Website: 

Position,Google,Bing,Duck Duck Go,Tusk
87,"=HYPERLINK(""https://www.crfb.org/papers/trump-and-biden-national-debt"",""Trump and Biden: The National Debt"")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-civil-fraud-trial-11-01-23/index.html"",""Live updates: Donald Trump Jr. testifies in Trump civil fraud trial ..."")","=HYPERLINK(""https://www.msn.com/en-gb/news/world/forecaster-reveals-whether-donald-trump-or-kamala-harris-could-win/ar-BB1qQjAu"",""Forecaster reveals whether Donald Trump or Kamala Harris could win"")"
88,"=HYPERLINK(""https://www.wwe.com/superstars/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump’s federal indictment - CNN"")","=HYPERLINK(""https://www.nytimes.com/interactive/2024/us/elections/polls-president.html"",""Kamala Harris vs. Donald Trump: Latest Polls in 2024 Presidential ..."")","=HYPERLINK(""https://www.dailymail.co.uk/sport/golf/article-13742629/Donald-Trump-cost-Turnberry-golf-course.html"",""Donald Trump SLAMMED for new eye-watering cost to play his iconic Turnberry golf course | Daily Mail Online"")"
89,"=HYPERLINK(""https://time.com/4355797/hillary-clinton-donald-trump-foreign-policy-speech-transcript/"",""Hillary Clinton: Transcript of Speech on Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://edition.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.8newsnow.com/news/politics/ap-politics/ap-donald-trump-is-going-to-north-carolina-for-an-economic-speech-can-he-stick-to-a-clear-message/"",""Donald Trump is going to North Carolina for an economic speech. Can he stick to a clear message?"")"
90,"=HYPERLINK(""https://nymag.com/intelligencer/tags/donald-trump/"",""Donald Trump - Intelligencer"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.cnn.com/2024/07/01/politics/takeaways-trump-immunity-scotus/index.html"",""Takeaways from the Supreme Court's historic decision granting Donald ..."")","=HYPERLINK(""https://www.news-journal.com/daily-show-addresses-donald-trump-s-crush-on-kamala-harris/article_3bceac9a-e1dd-5b2f-8155-46ab95b41325.html"",""‘Daily Show’ Addresses Donald Trump’s ‘Crush’ on Kamala Harris | | news-journal.com"")"
91,"=HYPERLINK(""https://www.mlive.com/politics/2024/08/kamala-harris-would-debate-donald-trump-in-grand-rapids-on-this-condition-campaign-says.html"",""Kamala Harris would consider debate with Donald Trump in Grand Rapids ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.cnn.com/2023/08/01/politics/donald-trump-indictment-grand-jury-2020-election/index.html"",""Donald Trump has been indicted in special counsel's 2020 ... - CNN"")","=HYPERLINK(""https://www.msn.com/en-us/news/politics/donald-trump-rally-in-asheville-live-updates-from-north-carolina-campaign-stop/ar-AA1oM6w3?ocid=BingNewsBrowse"",""Donald Trump rally in Asheville: Live updates from North Carolina campaign stop"")"
92,"=HYPERLINK(""https://theconversation.com/happened-to-turn-black-how-donald-trump-evoked-a-history-of-white-authorities-using-their-power-to-define-race-236497"",""'Happened to turn Black': how Donald Trump evoked a history of white ..."")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://abcnews.go.com/US/fred-trump-iii-calls-uncle-donald-trump-atomic/story?id=112389846"",""Fred Trump III calls uncle Donald Trump 'atomic crazy,' says he used ..."")","=HYPERLINK(""https://www.inquirer.com/politics/election/kamala-harris-donald-trump-poll-honesty-discipline-20240814.html"",""Americans give Kamala Harris an advantage over Donald Trump on honesty and discipline, an AP-NORC poll finds"")"
93,"=HYPERLINK(""https://www.politico.eu/person/donald-trump/"",""Donald Trump - POLITICO.eu"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.axios.com/politics-policy/donald-trump"",""Donald Trump - Politics & Policy - Axios"")","=HYPERLINK(""https://thehill.com/homenews/campaign/4827219-trump-blames-technology-for-somewhat-different-and-strange-voice-in-musk-interview/"",""Trump blames technology for ‘somewhat different and strange’ voice in Musk interview"")"
94,"=HYPERLINK(""https://www.brookings.edu/articles/trump-v-united-states-can-presidents-get-away-with-anything/"",""Trump v. United States: Can presidents get away with anything ..."")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://shop.donaldjtrump.com/"",""Home | Donald J. Trump"")","=HYPERLINK(""https://www.msn.com/en-us/music/news/cardi-b-worries-about-donald-trump-dictatorship-after-ex-prez-promises-followers-you-won-t-have-to-vote-anymore/ar-BB1qP2Oz"",""Cardi B Worries About Donald Trump ‘Dictatorship' After Ex-Prez Promis…"")"
95,"=HYPERLINK(""https://www.theatlantic.com/magazine/archive/2024/01/evangelical-christian-nationalism-trump/676150/"",""My Father, My Faith, and Donald Trump"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.nytimes.com/2024/05/31/briefing/the-conviction-of-donald-j-trump.html"",""The Conviction of Donald J. Trump - The New York Times"")","=HYPERLINK(""https://news.northeastern.edu/2024/08/14/donald-trump-influencers/"",""Donald Trump is courting influencers like Logan Paul and Adin Ross. What does that say about campaigning in 2024?"")"
96,"=HYPERLINK(""https://www.wired.com/story/elon-musk-needs-donald-trump-back-on-x/"",""Donald Trump Doesn't Need X—but Elon Musk Desperately Needs Him ..."")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://mobile.twitter.com/donaldtrump"",""Donald Trump (@DonaldTrump) | Twitter"")","=HYPERLINK(""https://www.washingtontimes.com/news/2024/jul/29/liberals-love-victims-except-when-victim-is-trump/"",""Liberals love victims, except when victim is Trump - Washington Times"")"
97,"=HYPERLINK(""https://www.scotusblog.com/2024/07/justices-rule-trump-has-some-immunity-from-prosecution/"",""Justices rule Trump has some immunity from prosecution"")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.nytimes.com/interactive/2023/us/trump-investigations-charges-indictments.html"",""Keeping Track of the Trump Criminal Cases - The New York Times"")","=HYPERLINK(""https://www.nytimes.com/2024/08/14/us/politics/harris-trump-polls.html"",""Harris Is Leading or Tied With Trump in Most Swing States, New Cook Polls Find - The New York Times"")"
98,"=HYPERLINK(""https://www.bloomberg.com/news/articles/2024-07-19/mark-zuckerberg-calls-donald-trump-badass-without-endorsing-for-president"",""Mark Zuckerberg Calls Donald Trump 'Badass' Without Endorsing ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://www.nytimes.com/2024/07/21/us/politics/kamala-harris-trump-polls.html"",""How Kamala Harris Performs Against Donald Trump in the Polls"")","=HYPERLINK(""https://www.msn.com/en-us/news/other/republicans-are-gathering-in-milwaukee-to-nominate-donald-trump-again-here-s-what-to-expect/ar-BB1pViDG"",""Republicans are gathering in Milwaukee to nominate Donald Trump aga…"")"
99,"=HYPERLINK(""https://slate.com/technology/2024/08/donald-trump-truth-social-return-twitter-elon-musk-scam.html"",""Donald Trump's Truth Social: The former president's return to Twitter ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.donaldjtrump.com/events/"",""Events | Donald J. Trump"")","=HYPERLINK(""https://fox59.com/news/politics/ap-politics/ap-americans-give-harris-an-advantage-over-trump-on-honesty-and-discipline-an-ap-norc-poll-finds/"",""Americans give Harris an advantage over Trump on ..."")"
100,"=HYPERLINK(""https://www.bbc.com/news/articles/cn4v7v2g5l1o"",""Witness says he saw gunman on roof near Trump rally"")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://www.npr.org/2024/05/30/nx-s1-4977352/trump-trial-verdict"",""Donald Trump is found guilty in hush money case : NPR"")","=HYPERLINK(""https://wlos.com/news/local/live-updates-of-the-day-of-trumps-visit-to-asheville"",""LIVE UPDATES: Supporters line up downtown for Donald Trump's visit"")"
101,"=HYPERLINK(""https://www.kcra.com/article/donald-trump-can-he-still-run-for-president-can-he-vote/60953754"",""Can Donald Trump still run for president? Can he vote?"")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.nytimes.com/interactive/2023/06/09/us/trump-indictment-document-annotated.html"",""The Trump Classified Documents Indictment, Annotated"")","=HYPERLINK(""https://www.msn.com/en-gb/news/world/forecaster-reveals-whether-donald-trump-or-kamala-harris-could-win/ar-BB1qQjAu"",""Forecaster reveals whether Donald Trump or Kamala Harris could win"")"
102,"=HYPERLINK(""https://www.tiktok.com/@dailymail/video/7401530286053264682"",""During a campaign rally in Montana, Trump said 'nobody really knows' w..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump’s federal indictment - CNN"")","=HYPERLINK(""https://apnews.com/article/trump-justice-department-indictment-classified-documents-miami-8315a5b23c18f27083ed64eef21efff3"",""Donald Trump stored, showed off and refused to return classified ..."")","=HYPERLINK(""https://www.dailymail.co.uk/sport/golf/article-13742629/Donald-Trump-cost-Turnberry-golf-course.html"",""Donald Trump SLAMMED for new eye-watering cost to play his iconic Turnberry golf course | Daily Mail Online"")"
103,"=HYPERLINK(""https://www.yahoo.com/news/donald-trump-becoming-increasingly-detached-155619375.html"",""Donald Trump Is Becoming Increasingly Detached From Reality"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://www.cnn.com/2024/07/02/politics/trump-sentencing-date-delay-proposal/index.html"",""Trump sentencing in hush money case is postponed until September after ..."")","=HYPERLINK(""https://www.8newsnow.com/news/politics/ap-politics/ap-donald-trump-is-going-to-north-carolina-for-an-economic-speech-can-he-stick-to-a-clear-message/"",""Donald Trump is going to North Carolina for an economic speech. Can he stick to a clear message?"")"
104,"=HYPERLINK(""https://en.wikipedia.org/wiki/Political_positions_of_Donald_Trump"",""Political positions of Donald Trump"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.nytimes.com/2024/05/30/opinion/trump-trial-guilty-felony.html"",""Opinion | Donald Trump, Felon - The New York Times"")","=HYPERLINK(""https://www.news-journal.com/daily-show-addresses-donald-trump-s-crush-on-kamala-harris/article_3bceac9a-e1dd-5b2f-8155-46ab95b41325.html"",""‘Daily Show’ Addresses Donald Trump’s ‘Crush’ on Kamala Harris | | news-journal.com"")"
105,"=HYPERLINK(""https://www.supremecourt.gov/opinions/23pdf/23-939_e2pg.pdf"",""23-939 Trump v. United States (07/01/2024)"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.nytimes.com/2024/05/30/us/politics/trump-trial-guilty-verdict.html"",""Donald Trump Makes History With Guilty Verdict - The New York Times"")","=HYPERLINK(""https://www.msn.com/en-us/news/politics/donald-trump-rally-in-asheville-live-updates-from-north-carolina-campaign-stop/ar-AA1oM6w3?ocid=BingNewsBrowse"",""Donald Trump rally in Asheville: Live updates from North Carolina campaign stop"")"
106, ,"=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://www.nytimes.com/live/2024/07/13/us/biden-trump-election"",""Trump Is Safe After Assassination Attempt; Suspected Gunman Is Dead ..."")","=HYPERLINK(""https://www.inquirer.com/politics/election/kamala-harris-donald-trump-poll-honesty-discipline-20240814.html"",""Americans give Kamala Harris an advantage over Donald Trump on honesty and discipline, an AP-NORC poll finds"")"
107, , ,"=HYPERLINK(""https://www.cnn.com/2024/04/13/politics/donald-trump-hush-money-trial-explained/index.html"",""Donald Trump hush money trial, explained | CNN Politics"")","=HYPERLINK(""https://thehill.com/homenews/campaign/4827219-trump-blames-technology-for-somewhat-different-and-strange-voice-in-musk-interview/"",""Trump blames technology for ‘somewhat different and strange’ voice in Musk 
interview"")"
108, , ,"=HYPERLINK(""https://edition.cnn.com/2024/07/13/politics/video/trump-secret-service-butler-pennsylvania-digvid"",""Video: Trump injured during shooting at Pennsylvania rally | CNN Politics"")","=HYPERLINK(""https://www.msn.com/en-us/music/news/cardi-b-worries-about-donald-trump-dictatorship-after-ex-prez-promises-followers-you-won-t-have-to-vote-anymore/ar-BB1qP2Oz"",""Cardi B Worries About Donald Trump ‘Dictatorship' After Ex-Prez Promis…"")"
109, , ,"=HYPERLINK(""https://abcnews.go.com/Politics/maryanne-trump-barry-older-sister-donald-trump-died/story?id=104846289"",""Maryanne Trump Barry, older sister of Donald Trump, has died at 86 ..."")","=HYPERLINK(""https://news.northeastern.edu/2024/08/14/donald-trump-influencers/"",""Donald Trump is courting influencers like Logan Paul and Adin Ross. What does that say about campaigning in 2024?"")"
110, , ,"=HYPERLINK(""https://www.cnn.com/2024/07/13/politics/trump-injured-pennsylvania-rally/index.html"",""Trump injured in shooting at Pennsylvania rally | CNN Politics"")","=HYPERLINK(""https://www.washingtontimes.com/news/2024/jul/29/liberals-love-victims-except-when-victim-is-trump/"",""Liberals love victims, except when victim is Trump - Washington Times"")"
111, , ,"=HYPERLINK(""https://www.cbc.ca/news/world/donald-trump-hush-money-trial-guilty-what-now-1.7220155"",""Donald Trump is now a convicted felon. What happens next?"")","=HYPERLINK(""https://www.nytimes.com/2024/08/14/us/politics/harris-trump-polls.html"",""Harris Is Leading or Tied With Trump in Most Swing States, New Cook Polls Find - The New York Times"")"
112, , ,"=HYPERLINK(""https://www.cnn.com/2024/06/21/politics/donald-trump-vice-president-contenders/index.html"",""Donald Trump's potential vice president picks | CNN Politics"")","=HYPERLINK(""https://www.msn.com/en-us/news/other/republicans-are-gathering-in-milwaukee-to-nominate-donald-trump-again-here-s-what-to-expect/ar-BB1pViDG"",""Republicans are gathering in Milwaukee to nominate Donald Trump aga…"")"
113, , ,"=HYPERLINK(""https://www.newyorker.com/tag/donald-trump"",""Donald Trump | The New Yorker"")","=HYPERLINK(""https://fox59.com/news/politics/ap-politics/ap-americans-give-harris-an-advantage-over-trump-on-honesty-and-discipline-an-ap-norc-poll-finds/"",""Americans give Harris an advantage over Trump on ..."")"
114, , ,"=HYPERLINK(""https://www.nytimes.com/2023/12/05/us/politics/trump-2024-president-campaign.html"",""Donald Trump's 2024 Campaign, in His Own Menacing Words"")", 
115, , ,"=HYPERLINK(""https://news.gallup.com/poll/203198/presidential-approval-ratings-donald-trump.aspx"",""Presidential Approval Ratings -- Donald Trump"")", 
116, , ,"=HYPERLINK(""https://en.wikipedia.org/wiki/Family_of_Donald_Trump"",""Family of Donald Trump - Wikipedia"")", 
117, , ,"=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-trial-e-jean-carroll-01-26-24/index.html"",""Jury finds Trump must pay $83.3 million to E. Jean Carroll - CNN"")", 
118, , ,"=HYPERLINK(""https://www.usatoday.com/story/news/politics/2023/04/04/trump-arrested-arraigned-takeaways/11594611002/"",""Trump was arrested today. Here are the key takeaways."")", 
119, , ,"=HYPERLINK(""https://www.cnn.com/2023/11/13/politics/takeaways-trump-jr-testimony/index.html"",""Takeaways from Donald Trump Jr.'s return to court in the $250 ... - CNN"")", 
120, , ,"=HYPERLINK(""https://www.cnn.com/2024/05/29/politics/donald-trump-judgment-day-analysis/index.html"",""Judgment day looms for Donald Trump in New York | CNN Politics"")", 
121, , ,"=HYPERLINK(""https://www.cbsnews.com/news/trump-charges-conviction-guilty-verdict/"",""What was Trump convicted of? Details on the 34 counts and his guilty ..."")", 
122, , ,"=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/judge-trumps-hush-money-trial-delays-sentencing-supreme-court-immunity-rcna160028"",""Judge in Trump's hush money trial delays sentencing following Supreme ..."")", 
Campaign Website: ,Website Position: 1,Website Position: 1,Website Position: 1,Website Position: 1
